,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
10,0.521,0.22,9,-10.202,1,0.0314,0.647,0.00814,0.179,0.135,104.03,audio_features,7d0XkI4iJ32nxeFAHFXbLQ,spotify:track:7d0XkI4iJ32nxeFAHFXbLQ,https://api.spotify.com/v1/tracks/7d0XkI4iJ32nxeFAHFXbLQ,https://api.spotify.com/v1/audio-analysis/7d0XkI4iJ32nxeFAHFXbLQ,210507,4
11,0.369,0.403,3,-7.996,1,0.0259,0.827,0.0541,0.106,0.177,154.899,audio_features,1fEGtTZjrjJW8eUeewnNJR,spotify:track:1fEGtTZjrjJW8eUeewnNJR,https://api.spotify.com/v1/tracks/1fEGtTZjrjJW8eUeewnNJR,https://api.spotify.com/v1/audio-analysis/1fEGtTZjrjJW8eUeewnNJR,241917,3
12,0.579,0.463,7,-9.657,1,0.0303,0.585,0.0,0.0892,0.447,124.977,audio_features,7Bo0xLcXWx3pdhqwthqGaz,spotify:track:7Bo0xLcXWx3pdhqwthqGaz,https://api.spotify.com/v1/tracks/7Bo0xLcXWx3pdhqwthqGaz,https://api.spotify.com/v1/audio-analysis/7Bo0xLcXWx3pdhqwthqGaz,364613,4
13,0.607,0.399,2,-12.163,1,0.036,0.892,0.000317,0.1,0.688,75.476,audio_features,0EAvKXjChn1Rc3QmfYXevy,spotify:track:0EAvKXjChn1Rc3QmfYXevy,https://api.spotify.com/v1/tracks/0EAvKXjChn1Rc3QmfYXevy,https://api.spotify.com/v1/audio-analysis/0EAvKXjChn1Rc3QmfYXevy,571080,4
14,0.365,0.273,4,-16.526,0,0.038,0.94,0.431,0.109,0.238,132.285,audio_features,5GbVzc6Ex5LYlLJqzRQhuy,spotify:track:5GbVzc6Ex5LYlLJqzRQhuy,https://api.spotify.com/v1/tracks/5GbVzc6Ex5LYlLJqzRQhuy,https://api.spotify.com/v1/audio-analysis/5GbVzc6Ex5LYlLJqzRQhuy,248960,5
15,0.612,0.276,7,-11.932,1,0.0358,0.898,0.863,0.0867,0.205,98.606,audio_features,7fLBwcH8ixVT0kD5KFqfu7,spotify:track:7fLBwcH8ixVT0kD5KFqfu7,https://api.spotify.com/v1/tracks/7fLBwcH8ixVT0kD5KFqfu7,https://api.spotify.com/v1/audio-analysis/7fLBwcH8ixVT0kD5KFqfu7,356160,4
16,0.51,0.16,4,-21.03,1,0.0395,0.986,0.017,0.113,0.383,170.063,audio_features,4fpEuKIzTLmMJnYwFU0oqr,spotify:track:4fpEuKIzTLmMJnYwFU0oqr,https://api.spotify.com/v1/tracks/4fpEuKIzTLmMJnYwFU0oqr,https://api.spotify.com/v1/audio-analysis/4fpEuKIzTLmMJnYwFU0oqr,239508,4
17,0.331,0.559,2,-8.263,1,0.0316,0.224,0.0,0.297,0.236,115.117,audio_features,721tATaNQPPGSuC3dYEI3h,spotify:track:721tATaNQPPGSuC3dYEI3h,https://api.spotify.com/v1/tracks/721tATaNQPPGSuC3dYEI3h,https://api.spotify.com/v1/audio-analysis/721tATaNQPPGSuC3dYEI3h,313600,4
18,0.519,0.163,0,-18.131,0,0.0489,0.926,0.751,0.115,0.356,142.116,audio_features,3tchJ8gDgMdaSxpaLxlr1F,spotify:track:3tchJ8gDgMdaSxpaLxlr1F,https://api.spotify.com/v1/tracks/3tchJ8gDgMdaSxpaLxlr1F,https://api.spotify.com/v1/audio-analysis/3tchJ8gDgMdaSxpaLxlr1F,168040,4
19,0.329,0.455,8,-7.74,1,0.0339,0.0879,6.89e-06,0.118,0.19,124.888,audio_features,4UkynNKM3QAFnYukL8Udi6,spotify:track:4UkynNKM3QAFnYukL8Udi6,https://api.spotify.com/v1/tracks/4UkynNKM3QAFnYukL8Udi6,https://api.spotify.com/v1/audio-analysis/4UkynNKM3QAFnYukL8Udi6,303387,3
20,0.686,0.172,8,-14.979,1,0.0409,0.909,0.00154,0.286,0.563,133.899,audio_features,1u1YU1LE0FWHFOHpR2iXua,spotify:track:1u1YU1LE0FWHFOHpR2iXua,https://api.spotify.com/v1/tracks/1u1YU1LE0FWHFOHpR2iXua,https://api.spotify.com/v1/audio-analysis/1u1YU1LE0FWHFOHpR2iXua,353947,4
21,0.581,0.421,1,-9.792,1,0.0245,0.894,0.000491,0.119,0.433,95.969,audio_features,44alNkXsYnTyPnkMdohBcx,spotify:track:44alNkXsYnTyPnkMdohBcx,https://api.spotify.com/v1/tracks/44alNkXsYnTyPnkMdohBcx,https://api.spotify.com/v1/audio-analysis/44alNkXsYnTyPnkMdohBcx,209817,4
22,0.621,0.261,5,-13.805,1,0.034,0.91,0.06,0.109,0.0702,121.071,audio_features,1c8vx01xkc0wvqnrOnogpi,spotify:track:1c8vx01xkc0wvqnrOnogpi,https://api.spotify.com/v1/tracks/1c8vx01xkc0wvqnrOnogpi,https://api.spotify.com/v1/audio-analysis/1c8vx01xkc0wvqnrOnogpi,330307,4
23,0.676,0.0812,2,-22.846,1,0.0398,0.979,0.416,0.118,0.314,125.053,audio_features,2LthqyP0MLhGUBICwR1535,spotify:track:2LthqyP0MLhGUBICwR1535,https://api.spotify.com/v1/tracks/2LthqyP0MLhGUBICwR1535,https://api.spotify.com/v1/audio-analysis/2LthqyP0MLhGUBICwR1535,401413,4
24,0.727,0.202,2,-14.287,1,0.0443,0.898,0.39,0.102,0.544,120.991,audio_features,1KBUrBf50QNhi7mqmo6FjQ,spotify:track:1KBUrBf50QNhi7mqmo6FjQ,https://api.spotify.com/v1/tracks/1KBUrBf50QNhi7mqmo6FjQ,https://api.spotify.com/v1/audio-analysis/1KBUrBf50QNhi7mqmo6FjQ,299453,4
25,0.669,0.613,4,-11.12,0,0.036,0.487,0.18,0.132,0.565,110.67,audio_features,0mP897I93DZwdgtjkSriwj,spotify:track:0mP897I93DZwdgtjkSriwj,https://api.spotify.com/v1/tracks/0mP897I93DZwdgtjkSriwj,https://api.spotify.com/v1/audio-analysis/0mP897I93DZwdgtjkSriwj,220720,4
26,0.597,0.157,7,-17.199,0,0.0451,0.962,0.0259,0.107,0.498,81.009,audio_features,0v6lbGn9fC1YEa7WQZjFNX,spotify:track:0v6lbGn9fC1YEa7WQZjFNX,https://api.spotify.com/v1/tracks/0v6lbGn9fC1YEa7WQZjFNX,https://api.spotify.com/v1/audio-analysis/0v6lbGn9fC1YEa7WQZjFNX,194027,4
27,0.397,0.251,11,-15.434,0,0.0318,0.848,0.00138,0.0903,0.193,157.547,audio_features,0Kvx22z9wGHn0y2ZiWW9Ft,spotify:track:0Kvx22z9wGHn0y2ZiWW9Ft,https://api.spotify.com/v1/tracks/0Kvx22z9wGHn0y2ZiWW9Ft,https://api.spotify.com/v1/audio-analysis/0Kvx22z9wGHn0y2ZiWW9Ft,297173,4
28,0.437,0.143,11,-17.012,1,0.0329,0.927,0.0336,0.109,0.0868,132.87,audio_features,7xDydFFgyOYit7yAUsRhrI,spotify:track:7xDydFFgyOYit7yAUsRhrI,https://api.spotify.com/v1/tracks/7xDydFFgyOYit7yAUsRhrI,https://api.spotify.com/v1/audio-analysis/7xDydFFgyOYit7yAUsRhrI,219000,4
29,0.361,0.23,2,-15.517,1,0.0359,0.835,0.517,0.111,0.415,163.354,audio_features,0mh7eTsBmQj29bkgpQKoPj,spotify:track:0mh7eTsBmQj29bkgpQKoPj,https://api.spotify.com/v1/tracks/0mh7eTsBmQj29bkgpQKoPj,https://api.spotify.com/v1/audio-analysis/0mh7eTsBmQj29bkgpQKoPj,207720,3
30,0.379,0.334,9,-12.412,1,0.0316,0.945,0.708,0.273,0.133,91.565,audio_features,5rP9Weh1uFtlyRGqnzyQnd,spotify:track:5rP9Weh1uFtlyRGqnzyQnd,https://api.spotify.com/v1/tracks/5rP9Weh1uFtlyRGqnzyQnd,https://api.spotify.com/v1/audio-analysis/5rP9Weh1uFtlyRGqnzyQnd,188040,4
31,0.502,0.232,2,-14.538,1,0.0316,0.951,0.104,0.107,0.337,111.023,audio_features,4vBkvYa9N58KTGtaZeGfxK,spotify:track:4vBkvYa9N58KTGtaZeGfxK,https://api.spotify.com/v1/tracks/4vBkvYa9N58KTGtaZeGfxK,https://api.spotify.com/v1/audio-analysis/4vBkvYa9N58KTGtaZeGfxK,169805,4
32,0.494,0.372,7,-11.89,1,0.0331,0.964,0.0296,0.117,0.25,116.855,audio_features,7qUoDTmVj07qUf6ZBDhWKl,spotify:track:7qUoDTmVj07qUf6ZBDhWKl,https://api.spotify.com/v1/tracks/7qUoDTmVj07qUf6ZBDhWKl,https://api.spotify.com/v1/audio-analysis/7qUoDTmVj07qUf6ZBDhWKl,285160,4
33,0.593,0.263,4,-14.029,0,0.0567,0.844,5.36e-06,0.127,0.109,76.379,audio_features,2cbic3TiUENlJX91y67ARR,spotify:track:2cbic3TiUENlJX91y67ARR,https://api.spotify.com/v1/tracks/2cbic3TiUENlJX91y67ARR,https://api.spotify.com/v1/audio-analysis/2cbic3TiUENlJX91y67ARR,238520,4
34,0.618,0.155,2,-17.031,1,0.0799,0.811,3.3e-05,0.077,0.305,105.325,audio_features,6BqrPvrPOwpYkdLCgSqtVB,spotify:track:6BqrPvrPOwpYkdLCgSqtVB,https://api.spotify.com/v1/tracks/6BqrPvrPOwpYkdLCgSqtVB,https://api.spotify.com/v1/audio-analysis/6BqrPvrPOwpYkdLCgSqtVB,271600,3
35,0.559,0.114,9,-16.662,1,0.0334,0.869,0.0053,0.107,0.335,109.334,audio_features,4mpdDdID5Cf60xCf7AKNc2,spotify:track:4mpdDdID5Cf60xCf7AKNc2,https://api.spotify.com/v1/tracks/4mpdDdID5Cf60xCf7AKNc2,https://api.spotify.com/v1/audio-analysis/4mpdDdID5Cf60xCf7AKNc2,256160,4
36,0.596,0.253,1,-14.369,0,0.0349,0.896,5.17e-05,0.102,0.368,95.162,audio_features,0eBryM7ePQH3Klt3jz8xZd,spotify:track:0eBryM7ePQH3Klt3jz8xZd,https://api.spotify.com/v1/tracks/0eBryM7ePQH3Klt3jz8xZd,https://api.spotify.com/v1/audio-analysis/0eBryM7ePQH3Klt3jz8xZd,188878,4
37,0.367,0.189,2,-15.736,1,0.0384,0.889,0.428,0.364,0.177,156.643,audio_features,4qyfir5Yr7nfo05g6cyFMT,spotify:track:4qyfir5Yr7nfo05g6cyFMT,https://api.spotify.com/v1/tracks/4qyfir5Yr7nfo05g6cyFMT,https://api.spotify.com/v1/audio-analysis/4qyfir5Yr7nfo05g6cyFMT,384080,4
38,0.394,0.251,10,-11.048,1,0.0314,0.88,0.0,0.144,0.169,95.22,audio_features,14zduMrtXG6iAyoozpQhDA,spotify:track:14zduMrtXG6iAyoozpQhDA,https://api.spotify.com/v1/tracks/14zduMrtXG6iAyoozpQhDA,https://api.spotify.com/v1/audio-analysis/14zduMrtXG6iAyoozpQhDA,183547,5
39,0.668,0.081,0,-17.282,1,0.0366,0.983,0.42,0.114,0.0925,114.358,audio_features,7oRNU7Tmek0nm2lqyDojoG,spotify:track:7oRNU7Tmek0nm2lqyDojoG,https://api.spotify.com/v1/tracks/7oRNU7Tmek0nm2lqyDojoG,https://api.spotify.com/v1/audio-analysis/7oRNU7Tmek0nm2lqyDojoG,160093,3
40,0.666,0.369,11,-9.945,0,0.0295,0.895,0.0268,0.102,0.318,134.633,audio_features,2bdh8ALxBeuvpnuoh37BDn,spotify:track:2bdh8ALxBeuvpnuoh37BDn,https://api.spotify.com/v1/tracks/2bdh8ALxBeuvpnuoh37BDn,https://api.spotify.com/v1/audio-analysis/2bdh8ALxBeuvpnuoh37BDn,161840,4
